date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,state,latitude,longitude,data_type
2025-11-03 06:00:00+00:00,33.279,16.979,0.0,6.8423676,14.53,Baja California,32.6519,-115.4683,daily
2025-11-04 06:00:00+00:00,31.428999,15.379001,0.0,5.0528407,14.9,Baja California,32.6519,-115.4683,daily
2025-11-05 06:00:00+00:00,31.678999,15.779,0.0,9.391102,14.66,Baja California,32.6519,-115.4683,daily
2025-11-06 06:00:00+00:00,30.779,14.079,0.0,8.528657,14.68,Baja California,32.6519,-115.4683,daily
2025-11-07 06:00:00+00:00,31.479,16.979,0.0,8.856658,14.52,Baja California,32.6519,-115.4683,daily
2025-11-08 06:00:00+00:00,32.429,17.029,0.0,11.616627,14.53,Baja California,32.6519,-115.4683,daily
2025-11-09 06:00:00+00:00,32.779,17.629,0.0,11.679213,14.43,Baja California,32.6519,-115.4683,daily
2025-11-10 06:00:00+00:00,33.128998,17.328999,0.0,7.6473517,14.48,Baja California,32.6519,-115.4683,daily
2025-11-11 06:00:00+00:00,31.379,17.229,0.0,5.950899,13.41,Baja California,32.6519,-115.4683,daily
2025-11-12 06:00:00+00:00,31.729,18.229,0.0,9.016185,10.9,Baja California,32.6519,-115.4683,daily
2025-11-13 06:00:00+00:00,31.629,16.729,0.0,13.379461,13.92,Baja California,32.6519,-115.4683,daily
2025-11-14 06:00:00+00:00,29.229,19.979,0.0,14.628807,10.82,Baja California,32.6519,-115.4683,daily
2025-11-15 06:00:00+00:00,24.629,17.029,2.5,13.529966,7.56,Baja California,32.6519,-115.4683,daily
2025-11-16 06:00:00+00:00,23.928999,12.979,2.2,12.320471,11.82,Baja California,32.6519,-115.4683,daily
2025-11-17 06:00:00+00:00,22.779,12.579,0.0,10.285232,11.58,Baja California,32.6519,-115.4683,daily
2025-11-18 06:00:00+00:00,21.328999,13.929,3.6,22.629229,12.0,Baja California,32.6519,-115.4683,daily
2025-11-19 06:00:00+00:00,21.029,10.379001,0.4,8.913181,13.11,Baja California,32.6519,-115.4683,daily
2025-10-20 06:00:00+00:00,33.990498,24.3405,0.0,19.652176,20.64,Baja California Sur,24.1444,-110.3128,daily
2025-10-21 06:00:00+00:00,33.9405,24.8405,0.0,17.194475,20.48,Baja California Sur,24.1444,-110.3128,daily
2025-10-22 06:00:00+00:00,36.2905,25.040499,0.0,15.489416,20.65,Baja California Sur,24.1444,-110.3128,daily
2025-10-23 06:00:00+00:00,36.7905,24.790499,0.0,22.42427,20.84,Baja California Sur,24.1444,-110.3128,daily
2025-10-24 06:00:00+00:00,34.5405,24.190498,0.0,18.532133,20.42,Baja California Sur,24.1444,-110.3128,daily
2025-10-25 06:00:00+00:00,32.6405,25.3905,0.0,17.01738,20.12,Baja California Sur,24.1444,-110.3128,daily
2025-10-26 06:00:00+00:00,32.990498,22.940498,0.0,16.913296,20.84,Baja California Sur,24.1444,-110.3128,daily
2025-10-27 06:00:00+00:00,33.740498,22.1405,0.0,14.935662,20.97,Baja California Sur,24.1444,-110.3128,daily
2025-10-28 06:00:00+00:00,33.9405,22.7405,0.0,19.189215,20.81,Baja California Sur,24.1444,-110.3128,daily
2025-10-29 06:00:00+00:00,32.8405,22.5905,0.0,16.309628,20.3,Baja California Sur,24.1444,-110.3128,daily
2025-10-30 06:00:00+00:00,33.8405,22.3905,0.0,21.366234,20.06,Baja California Sur,24.1444,-110.3128,daily
2025-10-31 06:00:00+00:00,33.7905,21.7405,0.0,18.022486,19.9,Baja California Sur,24.1444,-110.3128,daily
2025-11-01 06:00:00+00:00,32.3405,20.940498,0.0,20.188908,19.6,Baja California Sur,24.1444,-110.3128,daily
2025-11-02 06:00:00+00:00,32.3905,22.8905,0.0,21.647945,19.34,Baja California Sur,24.1444,-110.3128,daily
2025-11-03 06:00:00+00:00,32.6905,23.440498,0.0,15.865546,19.43,Baja California Sur,24.1444,-110.3128,daily
2025-11-04 06:00:00+00:00,34.8905,23.040499,0.0,16.053335,19.38,Baja California Sur,24.1444,-110.3128,daily
2025-11-05 06:00:00+00:00,34.8405,24.3405,0.0,19.726225,19.4,Baja California Sur,24.1444,-110.3128,daily
2025-11-06 06:00:00+00:00,33.3405,24.0905,0.0,22.282953,19.31,Baja California Sur,24.1444,-110.3128,daily
2025-11-07 06:00:00+00:00,34.240498,22.8905,0.0,15.760025,19.37,Baja California Sur,24.1444,-110.3128,daily
2025-11-08 06:00:00+00:00,32.2405,23.040499,0.0,19.18246,18.65,Baja California Sur,24.1444,-110.3128,daily
2025-11-09 06:00:00+00:00,31.1405,22.3405,0.0,18.201374,18.8,Baja California Sur,24.1444,-110.3128,daily
2025-11-10 06:00:00+00:00,31.440498,21.8405,0.0,17.654688,18.98,Baja California Sur,24.1444,-110.3128,daily
2025-11-11 06:00:00+00:00,33.2905,22.9905,0.0,14.174356,18.31,Baja California Sur,24.1444,-110.3128,daily
2025-11-12 06:00:00+00:00,34.1405,23.540499,0.0,14.345898,18.4,Baja California Sur,24.1444,-110.3128,daily
2025-11-13 06:00:00+00:00,33.8405,22.9905,0.0,13.239487,18.8,Baja California Sur,24.1444,-110.3128,daily
2025-11-14 06:00:00+00:00,31.790499,22.2405,0.0,13.647988,18.6,Baja California Sur,24.1444,-110.3128,daily
2025-11-15 06:00:00+00:00,32.6905,21.3905,0.0,16.019999,18.28,Baja California Sur,24.1444,-110.3128,daily
2025-11-16 06:00:00+00:00,32.5905,23.1405,0.0,16.391863,16.72,Baja California Sur,24.1444,-110.3128,daily
2025-11-17 06:00:00+00:00,31.0905,21.2405,0.0,11.975074,17.68,Baja California Sur,24.1444,-110.3128,daily
2025-11-18 06:00:00+00:00,29.940498,21.0905,0.0,14.420235,17.03,Baja California Sur,24.1444,-110.3128,daily
2025-11-19 06:00:00+00:00,29.6405,22.4905,0.0,19.070658,14.95,Baja California Sur,24.1444,-110.3128,daily
2025-10-20 06:00:00+00:00,31.9585,22.9085,6.2,15.172409,19.48,Campeche,19.8414,-90.5328,daily
2025-10-21 06:00:00+00:00,31.6585,22.258501,1.3,13.104198,19.41,Campeche,19.8414,-90.5328,daily
2025-10-22 06:00:00+00:00,31.3085,22.3085,0.4,13.954354,20.29,Campeche,19.8414,-90.5328,daily
2025-10-23 06:00:00+00:00,31.6585,22.0585,0.8000001,11.45513,19.98,Campeche,19.8414,-90.5328,daily
2025-10-24 06:00:00+00:00,32.2085,22.7085,0.0,12.4811535,21.47,Campeche,19.8414,-90.5328,daily
2025-10-25 06:00:00+00:00,32.2585,21.0585,0.0,14.915039,21.2,Campeche,19.8414,-90.5328,daily
2025-10-26 06:00:00+00:00,32.0585,22.9585,0.5,14.57889,19.99,Campeche,19.8414,-90.5328,daily
2025-10-27 06:00:00+00:00,31.1085,23.258501,1.6,16.63905,19.95,Campeche,19.8414,-90.5328,daily
2025-10-28 06:00:00+00:00,30.4585,22.7085,1.5,14.138882,19.68,Campeche,19.8414,-90.5328,daily
2025-10-29 06:00:00+00:00,29.258501,22.6585,1.7,22.013786,16.72,Campeche,19.8414,-90.5328,daily
2025-10-30 06:00:00+00:00,27.4585,21.9085,0.8,20.36865,16.82,Campeche,19.8414,-90.5328,daily
2025-10-31 06:00:00+00:00,27.8085,18.2085,0.1,11.734564,18.43,Campeche,19.8414,-90.5328,daily
2025-11-01 06:00:00+00:00,28.9585,16.3085,0.0,8.461915,21.33,Campeche,19.8414,-90.5328,daily
2025-11-02 06:00:00+00:00,29.1585,17.4085,0.0,16.056362,20.67,Campeche,19.8414,-90.5328,daily
